age,age_id
"1 Month and older  (Child, Adult, Older Adult)",age_1
"1 Month to 100 Years  (Child, Adult, Older Adult)",age_2
1 Month to 17 Years  (Child),age_3
"1 Month to 30 Years  (Child, Adult)",age_4
"1 Month to 99 Years  (Child, Adult, Older Adult)",age_5
"1 Year and older  (Child, Adult, Older Adult)",age_6
1 Year to 10 Years  (Child),age_7
"1 Year to 100 Years  (Child, Adult, Older Adult)",age_8
1 Year to 15 Years  (Child),age_9
1 Year to 16 Years  (Child),age_10
"1 Year to 18 Years  (Child, Adult)",age_11
1 Year to 2 Years  (Child),age_12
"1 Year to 80 Years  (Child, Adult, Older Adult)",age_13
"1 Year to 90 Years  (Child, Adult, Older Adult)",age_14
"1 Year to 95 Years  (Child, Adult, Older Adult)",age_15
"1 Year to 99 Years  (Child, Adult, Older Adult)",age_16
"10 Years and older  (Child, Adult, Older Adult)",age_17
10 Years to 17 Years  (Child),age_18
"10 Years to 18 Years  (Child, Adult)",age_19
"10 Years to 19 Years  (Child, Adult)",age_20
"10 Years to 50 Years  (Child, Adult)",age_21
"10 Years to 70 Years  (Child, Adult, Older Adult)",age_22
"10 Years to 75 Years  (Child, Adult, Older Adult)",age_23
"11 Years and older  (Child, Adult, Older Adult)",age_24
"11 Years to 100 Years  (Child, Adult, Older Adult)",age_25
11 Years to 14 Years  (Child),age_26
11 Years to 17 Years  (Child),age_27
"11 Years to 18 Years  (Child, Adult)",age_28
"12 Months and older  (Child, Adult, Older Adult)",age_29
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years and older  (Child, Adult, Older Adult)",age_30
"12 Years to 100 Years  (Child, Adult, Older Adult)",age_31
"12 Years to 100 Years  (Child, Adult, Older Adult)",age_31
"12 Years to 100 Years  (Child, Adult, Older Adult)",age_31
"12 Years to 120 Years  (Child, Adult, Older Adult)",age_31
"12 Years to 120 Years  (Child, Adult, Older Adult)",age_31
12 Years to 17 Years  (Child),age_32
12 Years to 17 Years  (Child),age_32
12 Years to 17 Years  (Child),age_32
12 Years to 17 Years  (Child),age_32
"12 Years to 18 Years  (Child, Adult)",age_33
"12 Years to 18 Years  (Child, Adult)",age_33
"12 Years to 18 Years  (Child, Adult)",age_33
"12 Years to 18 Years  (Child, Adult)",age_33
"12 Years to 25 Years  (Child, Adult)",age_34
"12 Years to 50 Years  (Child, Adult)",age_35
"12 Years to 57 Years  (Child, Adult)",age_36
"12 Years to 65 Years  (Child, Adult, Older Adult)",age_37
"12 Years to 65 Years  (Child, Adult, Older Adult)",age_37
"12 Years to 65 Years  (Child, Adult, Older Adult)",age_37
"12 Years to 65 Years  (Child, Adult, Older Adult)",age_37
"12 Years to 69 Years  (Child, Adult, Older Adult)",age_38
"12 Years to 75 Years  (Child, Adult, Older Adult)",age_39
"12 Years to 80 Years  (Child, Adult, Older Adult)",age_40
"12 Years to 80 Years  (Child, Adult, Older Adult)",age_40
"12 Years to 85 Years  (Child, Adult, Older Adult)",age_41
"12 Years to 90 Years  (Child, Adult, Older Adult)",age_42
"12 Years to 95 Years  (Child, Adult, Older Adult)",age_43
"12 Years to 98 Years  (Child, Adult, Older Adult)",age_44
"12 Years to 99 Years  (Child, Adult, Older Adult)",age_45
"13 Years and older  (Child, Adult, Older Adult)",age_46
13 Years to 16 Years  (Child),age_47
"13 Years to 19 Years  (Child, Adult)",age_48
"13 Years to 21 Years  (Child, Adult)",age_49
"13 Years to 24 Years  (Child, Adult)",age_50
"13 Years to 25 Years  (Child, Adult)",age_51
"13 Years to 59 Years  (Child, Adult)",age_52
"13 Years to 90 Years  (Child, Adult, Older Adult)",age_53
"13 Years to 99 Years  (Child, Adult, Older Adult)",age_54
"13 Years to 99 Years  (Child, Adult, Older Adult)",age_54
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years and older  (Child, Adult, Older Adult)",age_55
"14 Years to 100 Years  (Child, Adult, Older Adult)",age_56
"14 Years to 18 Years  (Child, Adult)",age_57
"14 Years to 70 Years  (Child, Adult, Older Adult)",age_58
"14 Years to 75 Years  (Child, Adult, Older Adult)",age_59
"14 Years to 75 Years  (Child, Adult, Older Adult)",age_59
"14 Years to 80 Years  (Child, Adult, Older Adult)",age_60
"14 Years to 90 Years  (Child, Adult, Older Adult)",age_61
"15 Years and older  (Child, Adult, Older Adult)",age_62
"15 Years and older  (Child, Adult, Older Adult)",age_62
"15 Years and older  (Child, Adult, Older Adult)",age_62
"15 Years and older  (Child, Adult, Older Adult)",age_62
"15 Years and older  (Child, Adult, Older Adult)",age_62
"15 Years and older  (Child, Adult, Older Adult)",age_62
"15 Years and older  (Child, Adult, Older Adult)",age_62
"15 Years and older  (Child, Adult, Older Adult)",age_62
"15 Years and older  (Child, Adult, Older Adult)",age_62
"15 Years to 100 Years  (Child, Adult, Older Adult)",age_63
"15 Years to 100 Years  (Child, Adult, Older Adult)",age_63
15 Years to 17 Years  (Child),age_64
"15 Years to 30 Years  (Child, Adult)",age_65
"15 Years to 35 Years  (Child, Adult)",age_66
"15 Years to 45 Years  (Child, Adult)",age_67
"15 Years to 65 Years  (Child, Adult, Older Adult)",age_68
"15 Years to 65 Years  (Child, Adult, Older Adult)",age_68
"15 Years to 65 Years  (Child, Adult, Older Adult)",age_68
"15 Years to 65 Years  (Child, Adult, Older Adult)",age_68
"15 Years to 65 Years  (Child, Adult, Older Adult)",age_68
"15 Years to 75 Years  (Child, Adult, Older Adult)",age_69
"15 Years to 80 Years  (Child, Adult, Older Adult)",age_70
"15 Years to 80 Years  (Child, Adult, Older Adult)",age_70
"15 Years to 80 Years  (Child, Adult, Older Adult)",age_70
"15 Years to 80 Years  (Child, Adult, Older Adult)",age_70
"15 Years to 85 Years  (Child, Adult, Older Adult)",age_71
"15 Years to 90 Years  (Child, Adult, Older Adult)",age_72
"15 Years to 90 Years  (Child, Adult, Older Adult)",age_72
"15 Years to 90 Years  (Child, Adult, Older Adult)",age_72
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years and older  (Child, Adult, Older Adult)",age_73
"16 Years to 100 Years  (Child, Adult, Older Adult)",age_74
"16 Years to 100 Years  (Child, Adult, Older Adult)",age_74
"16 Years to 100 Years  (Child, Adult, Older Adult)",age_74
"16 Years to 100 Years  (Child, Adult, Older Adult)",age_74
"16 Years to 100 Years  (Child, Adult, Older Adult)",age_74
"16 Years to 100 Years  (Child, Adult, Older Adult)",age_74
"16 Years to 100 Years  (Child, Adult, Older Adult)",age_74
"16 Years to 120 Years  (Child, Adult, Older Adult)",age_75
"16 Years to 24 Years  (Child, Adult)",age_76
"16 Years to 24 Years  (Child, Adult)",age_76
"16 Years to 40 Years  (Child, Adult)",age_77
"16 Years to 40 Years  (Child, Adult)",age_77
"16 Years to 40 Years  (Child, Adult)",age_77
"16 Years to 40 Years  (Child, Adult)",age_77
