nctid,title,Study_Designs,Other_IDs,Locations,URL
NCT04372602,Duvelisib to Combat COVID-19,"Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",202007009,"Missouri Baptist Medical Center, Saint Louis, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States",https://ClinicalTrials.gov/show/NCT04372602
NCT04902157,Relationship Between CT- Value With Prognosis in COVID-19 Patients,Observational Model: Cohort|Time Perspective: Prospective,SBMU.34.675,"SBMU, Tehran, Iran, Islamic Republic of|Nooshin Dalili, Tehran, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04902157
NCT04364698,Observational Cohort of COVID-19 Patients at Raymond-Poincare,Observational Model: Cohort|Time Perspective: Prospective,20SBS-COVID-RPC,"Department of Infectiology, Raymond Poincaré Hospital, APHP, Garches, France",https://ClinicalTrials.gov/show/NCT04364698
NCT04482621,Decitabine for Coronavirus (COVID-19) Pneumonia- Acute Respiratory Distress Syndrome (ARDS) Treatment: DART Trial,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",IRB00247544,"Johns Hopkins University, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04482621
NCT04459637,COVID-19 Surveillance Based on Smart Wearable Device,Observational Model: Cohort|Time Perspective: Prospective,2020055-0615,"Peking University First Hospital, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04459637
NCT04425538,A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STUDY00000564,"Tufts Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04425538
NCT04547257,Safety & Performance Evaluation of Seraph 100 in Treatment of Pts With COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CP022,"Carla Kikken-Jussen, Vaals, Limburg, Netherlands",https://ClinicalTrials.gov/show/NCT04547257
NCT04454307,Safety and Efficacy of Tramadol in COVID-19 Egyptian Patients,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment",TRAM/COVID19,NA,https://ClinicalTrials.gov/show/NCT04454307
NCT04452435,Safety and Efficacy of C21 in Subjects With COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",VP-C21-006|2020-001502-38,"Department of Medicine, Civil Hospital and B J Medical College, Ahmadabad, Gujarat, India|Infectious Disease, Metas Adventist Hospital, Surat, Gujarat, India|Clinical Research Department, Basement, Unity Trauma Centre and ICU (Unity Hospital, Surat, Gujarat, India|First Floor Clinical Research Department Rhythm Heart Institute, Vadodara, Gujarat, India|Internal Medicine S.L. Raheja Hospital, Mumbai, Maharashtra, India|Department of Medicine, Government Medical College and Hospital, Nagpur, Maharashtra, India|Neuro Critical Care, Grant Medical Foundation Ruby Hall Clinic, Pune, Maharashtra, India|Department of Medicine, Noble Hospitals Pvt. Ltd, Pune, Maharashtra, India|Respiratory Medicine, University College Hospital, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04452435
NCT04333550,Application of Desferal to Treat COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",1398.1224,"Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04333550
